Comment,Designator,Footprint,LCSC,Quantity
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C113767,1
1k,"R6,R9",R_0402_1005Metric,C11702,2
22p,"C6,C7",C_0402_1005Metric,C1555,2
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
27,"R7,R8",R_0402_1005Metric,C25100,2
5.1k,"R3,R4,R5",R_0402_1005Metric,C25905,3
XC6206PxxxMR,U1,SOT-23-3,C2897477,1
100n,"C10,C11,C12,C13,C14,C15,C16,C4",C_0402_1005Metric,C307331,8
SW_Push,"BOOT1,RST1",SW_SPST_TL3342,C318884,2
Conn_01x05,J3,PinHeader_1x05_P2.54mm_Vertical,C358687,1
1u,"C1,C2,C3,C5,C9",C_0402_1005Metric,C52923,5
78171-0004,J4,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524,1
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90",D_SOD-123,C81598,90
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9006,1
10u,C8,C_0603_1608Metric,C96446,1
